open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,1196.10,1196.68,1194.31,1194.31,16690.978,1672532099999,19956003.94962,8279,7549.181,9026101.25844,0
1672532100000,1194.32,1196.85,1194.00,1196.65,18165.325,1672532999999,21717886.52749,8469,11345.084,13564208.85124,0
1672533000000,1196.66,1196.66,1192.29,1193.49,36477.376,1672533899999,43548210.02308,14911,18681.311,22300604.64706,0
1672533900000,1193.48,1195.26,1193.25,1193.89,12824.989,1672534799999,15317643.66414,8138,7249.924,8658702.07359,0
1672534800000,1193.89,1195.99,1193.76,1195.44,17640.881,1672535699999,21079597.19304,8129,10398.711,12426339.06710,0
1672535700000,1195.45,1195.78,1195.05,1195.71,7012.933,1672536599999,8383374.14927,5306,3652.901,4366777.11200,0
1672536600000,1195.71,1195.83,1194.61,1194.90,10236.491,1672537499999,12234385.71365,5689,4826.910,5769011.59464,0
1672537500000,1194.89,1196.71,1194.89,1196.16,10692.260,1672538399999,12785896.32038,6178,6758.520,8081671.65199,0
1672538400000,1196.16,1196.16,1193.99,1195.35,16246.497,1672539299999,19409673.28123,7828,6557.543,7833140.13993,0
1672539300000,1195.35,1196.33,1194.95,1196.15,7465.375,1672540199999,8925460.94417,4734,4039.529,4829672.74492,0
1672540200000,1196.15,1196.98,1195.38,1195.38,9855.342,1672541099999,11790490.85539,5270,4222.788,5052080.60829,0
1672541100000,1195.38,1195.97,1195.33,1195.62,5719.370,1672541999999,6838369.50104,3007,3231.664,3863935.70661,0
1672542000000,1195.61,1195.61,1191.94,1193.34,42157.956,1672542899999,50304038.71216,17574,15111.321,18030062.63607,0
1672542900000,1193.33,1193.66,1191.36,1193.52,25633.519,1672543799999,30568868.25969,12821,13784.905,16441131.24523,0
1672543800000,1193.52,1194.29,1193.22,1194.27,8238.577,1672544699999,9834522.64005,6030,4899.237,5848277.60575,0
1672544700000,1194.26,1194.69,1193.98,1194.05,8439.161,1672545599999,10078101.51738,5242,4576.235,5465019.37992,0
1672545600000,1194.05,1194.08,1192.50,1192.68,19227.261,1672546499999,22944179.97354,8557,8411.271,10037115.42467,0
1672546500000,1192.68,1193.05,1190.80,1192.13,25151.106,1672547399999,29983476.23373,12057,12738.227,15186528.39167,0
1672547400000,1192.12,1193.22,1191.98,1192.24,9200.349,1672548299999,10973041.29634,6811,4572.902,5454032.30044,0
1672548300000,1192.23,1193.28,1192.02,1193.07,11121.891,1672549199999,13264866.86510,7485,6234.351,7435566.60419,0
1672549200000,1193.09,1193.77,1192.91,1193.56,11156.006,1672550099999,13313595.85149,6287,5611.356,6696616.22377,0
1672550100000,1193.55,1194.57,1193.27,1194.47,8957.789,1672550999999,10694293.81639,5579,4930.832,5886551.90309,0
1672551000000,1194.47,1194.62,1193.64,1194.29,7490.707,1672551899999,8944650.27378,5533,3449.229,4118824.24113,0
1672551900000,1194.30,1194.84,1194.19,1194.57,6556.262,1672552799999,7831368.27969,4312,3643.898,4352609.99109,0
1672552800000,1194.58,1195.55,1193.94,1194.43,17098.473,1672553699999,20431562.12029,7501,8822.527,10542329.57286,0
1672553700000,1194.43,1195.29,1194.24,1194.68,8108.211,1672554599999,9687612.44550,4490,4344.204,5190368.95602,0
1672554600000,1194.69,1194.70,1193.87,1194.64,5708.252,1672555499999,6817249.70255,3483,2753.078,3287959.43019,0
1672555500000,1194.64,1194.80,1194.15,1194.75,5090.998,1672556399999,6081318.19489,3210,2227.773,2661132.92922,0
1672556400000,1194.75,1195.19,1193.52,1194.26,15478.770,1672557299999,18487043.43531,6935,6373.236,7611785.31466,0
1672557300000,1194.26,1194.54,1193.00,1194.53,17110.687,1672558199999,20420139.13394,7898,8329.167,9940241.64937,0
1672558200000,1194.53,1195.20,1193.68,1195.19,11980.747,1672559099999,14311735.41594,5278,5891.584,7038509.07078,0
1672559100000,1195.19,1195.84,1194.53,1195.07,11706.615,1672559999999,13993067.52510,5038,5950.942,7112994.27974,0
1672560000000,1195.07,1196.00,1194.42,1194.47,14416.893,1672560899999,17233242.57958,6909,6572.860,7857395.97988,0
1672560900000,1194.47,1195.60,1194.24,1195.21,8001.600,1672561799999,9562124.27408,4964,4973.256,5943105.87757,0
1672561800000,1195.21,1195.48,1194.07,1194.21,6443.147,1672562699999,7699423.18235,3885,2385.299,2850600.77259,0
1672562700000,1194.20,1194.60,1193.91,1194.13,7392.460,1672563599999,8828334.78732,3666,3593.984,4292174.96148,0
1672563600000,1194.13,1194.43,1193.56,1194.43,8996.241,1672564499999,10741118.56987,4834,4247.162,5071039.39664,0
1672564500000,1194.43,1195.83,1194.42,1194.78,9495.967,1672565399999,11349270.02676,5060,5172.177,6181417.61611,0
1672565400000,1194.77,1196.10,1194.77,1196.10,7983.108,1672566299999,9543249.04278,4264,5229.087,6251119.69289,0
1672566300000,1196.10,1196.79,1195.57,1196.55,13599.007,1672567199999,16267327.45835,6854,7380.269,8828756.78597,0
